Chipset Name : GRANTLY PLATFORM Ver.05.04.21.0026,,,
Category,Name,GUID,Description
Chipset Layer,\grantleychipsetpkg\programgpiopei\ProgramGPIOPei,34E5798E-F44F-4526-A08C-39BCA6E8D7D5,Component description file for ProgramGpioPei PEIM.
Chipset Layer,\grantleychipsetpkg\loaddefaultpei\LoadDefaultPei,9555CE1E-9D5A-4917-BDC9-51DE10C0483D,This PEIM provides Setup variable default values if Setup variable does not exist.
Chipset Layer,\grantleychipsetpkg\insydeeventlogpolicypei\InsydeEventLogPolicyPei,6F183D67-C371-4B99-803E-79C0DF814D9E,Implement the PEIM of Pei Insyde Event Log Policy.
Chipset Layer,\grantleychipsetpkg\memorytestnullpei\PeiMemoryTestNull,472C4729-94CA-46FA-88E3-76CC2EA0B7F9,Component description file for PeiMemoryTestNull module.
Chipset Layer,\grantleychipsetpkg\platformpolicypei\policyclass1pei\PolicyClass1Pei,8BEEDB0D-A31A-0361-A312-5DC8574C65F1,Azalia controller initialize in PEI phase.
Chipset Layer,\grantleychipsetpkg\platformpolicypei\policyclass1pei\PolicyClass2Pei,8BEEDB0D-A31A-0361-A312-5DC8574C65F2,Azalia controller initialize in PEI phase.
Chipset Layer,\grantleychipsetpkg\platformpolicypei\policyclass1pei\PolicyClass4Pei,8BEEDB0D-A31A-0361-A312-5DC8574C65F4,Azalia controller initialize in PEI phase.
Chipset Layer,\grantleychipsetpkg\chipsetsvcpei\ChipsetSvcPei,FB3D20EE-CB5D-45EE-BBAE-C5AAA9C0FDFA,Implement the PEIM of PeiChipsetSvc.
Chipset Layer,\grantleychipsetpkg\smmcontrolpei\SmmControlPei,FF456B9C-0DC7-4682-9E92-0DE84B6E4067,Component description file for SmmControlPei module.
Chipset Layer,\grantleychipsetpkg\commonchipset\installverbtablepei\InstallVerbTablePei,A56FAD72-A264-4370-85C5-00584654DCE2,Component description file for InstallVerbTablePei PEIM.
Chipset Layer,\grantleychipsetpkg\spsme\sample\spspolicypei\SpsPolicyPei,C9256FD4-6626-46CD-8453-53ECF3AD588B,Component description file for SpsPolicyPei PEIM.
Chipset Layer,\grantleychipsetpkg\spsme\spspei\SpsPei,E77B1EEA-3DE7-4FEB-8DAA-D890AF52AE52,Component description file for Server Platform Services ME Module in PEI phase.
Chipset Layer,\grantleychipsetpkg\spsheci\spshecipei\SpsHeciPei,4862AFF3-667C-5458-B274-A1C62DF8BA80,Component description file for HeciInit module.
InsydeIpmiPkg,,,
Chipset Layer,\insydeipmipkg\ipmiinterfacedxesmm\IpmiInterfaceDxe,1EE72781-8221-4649-A0D1-FE9811540A5,H2O IPMI Interface module build description file for DXE phase.
Chipset Layer,\insydeipmipkg\ipmiinterfacedxesmm\IpmiInterfaceSmm,66FB797D-3528-4648-BF9E-6FA3D7438DE,H2O IPMI Interface module build description file for SMM phase.
Chipset Layer,\insydeipmipkg\ipmifrudxesmm\IpmiFruDxe,5C7FE7A6-73FA-42D4-98A3-9FE600352CE5,H2O IPMI FRU module build description file for DXE phase.
Chipset Layer,\insydeipmipkg\ipmifrudxesmm\IpmiFruSmm,71655C11-C55F-4A46-90E4-42E72B962FDC,H2O IPMI FRU module build description file for SMM phase.
Chipset Layer,\insydeipmipkg\ipmiseldatadxesmm\IpmiSelDataDxe,BAC1689C-41DB-4963-A408-C0C9C0274ABF,H2O IPMI SEL Data module build description file for DXE phase.
Chipset Layer,\insydeipmipkg\ipmiseldatadxesmm\IpmiSelDataSmm,7EC1FF91-69D2-403D-B78F-415EE32573D2,H2O IPMI SEL Data module build description file for SMM phase.
Chipset Layer,\insydeipmipkg\ipmiselinfodxesmm\IpmiSelInfoDxe,6306F3E6-CB4C-4737-AA4D-40D0473C2606,H2O IPMI SEL Info module build description file for DXE phase.
Chipset Layer,\insydeipmipkg\ipmiselinfodxesmm\IpmiSelInfoSmm,F3F0E25C-9674-473A-9A86-B49CA4519070,H2O IPMI SEL Info module build description file for SMM phase.
Chipset Layer,\insydeipmipkg\ipmimiscdxe\IpmiMiscDxe,0DE19141-7AEB-46CA-9F87-2D19FEBC99C3,H2O IPMI Misc module build description file for DXE phase.
Chipset Layer,\insydeipmipkg\ipmimiscsmm\IpmiMiscSmm,E70F15ED-6E59-4ECD-B5C2-0F27B7FAE9FC,H2O IPMI Misc module build description file for SMM phase.
Chipset Layer,\insydeipmipkg\ipmisdrdxesmm\IpmiSdrDxe,30B96290-6E4E-4026-9345-B3158C9EC061,H2O IPMI SDR module build description file for DXE phase.
Chipset Layer,\insydeipmipkg\ipmisdrdxesmm\IpmiSdrSmm,3A923758-E897-408F-8863-FD593AB69AE0,H2O IPMI SDR module build description file for SMM phase.
Chipset Layer,\insydeipmipkg\ipmiutilitydxe\IpmiUtilityDxe,65EE6275-CE35-42D1-803B-E7C500AE18A0,H2O IPMI Utility module build description file for DXE phase.
Chipset Layer,\insydeipmipkg\ipmiinterfacepei\IpmiInterfacePei,B12CBABC-30A1-4223-9D95-E17CEBD8C667,H2O IPMI Interface module build description file for PEI phase.
InsydeApeiPkg,,,
Chipset Layer,\insydeapeipkg\whea\isplatformsupportwhea\IsPlatformSupportWheaDxe,1F4FD693-73FA-4374-9080-82C49A04618C,Component description file for IsPlatformSupportWhea driver.
Chipset Layer,\insydeapeipkg\whea\wheasupport\WheaSupportDxe,39203C78-49FC-48C9-B883-B4A015D84BD3,Component description file for the WheaSupport driver.
Chipset Layer,\insydeapeipkg\whea\wheaplatform\WheaPlatformSmm,D27F555B-93A5-43CF-A4F4-E7ECE60EDC15,Component description file for the WheaPlatform driver.
Chipset Layer,\insydeapeipkg\whea\wheaerrorinject\WheaErrorInjectSmm,DF243C0E-95EA-428D-9AB2-B70666AAA08B,Component description file for the WheaErrorInject driver.
Chipset Layer,\insydeapeipkg\whea\wheaerrorlog\WheaErrorLogSmm,CF2FF61B-19C5-40EE-80FF-8042151F9015,Component description file for Whea Error log driver.
InsydeEventLogPkg,,,
Chipset Layer,\insydeeventlogpkg\eventstorage\biosstorage\biosstoragedxe\BiosStorageKernelDxe,9CDA2EF0-EBCA-499C-A193-95B468625528,Implement the driver of BiosStorageKernelDxe.
Chipset Layer,\insydeeventlogpkg\eventstorage\biosstorage\biosstoragedxe\BiosStorageChipsetDxe,95AD276A-7E8B-46A8-98F8-4C56F68C3590,Component description file for BiosStorageChipsetDxe driver.
Chipset Layer,\insydeeventlogpkg\eventstorage\biosstorage\biosstoragesmm\BiosStorageKernelSmm,099E1F39-0102-43C3-8CEC-8E897B6562F7,Implement the driver of BiosStorageKernelSmm.
Chipset Layer,\insydeeventlogpkg\eventstorage\biosstorage\biosstoragesmm\BiosStorageChipsetSmm,26942B3A-B873-49FF-A36D-E76D11F0C1FF,Component description file for BiosStorageChipset SMM driver.
Chipset Layer,\insydeeventlogpkg\eventlog\eventlogdxe\EventLogDxe,9E039967-FB3B-4BE4-83AA-F72F309E481E,Component description file for EventLog DXE driver.
Chipset Layer,\insydeeventlogpkg\eventlog\eventlogsmm\EventLogSmm,63722DE5-EC4A-4237-953F-5502246776B2,Component description file for EventLog SMM driver.
Chipset Layer,\insydeeventlogpkg\eventstorage\memorystorage\memorystoragedxe\MemoryStorageKernelDxe,75C640C2-030E-4C57-81E2-532B1DD7339F,Component description file for MemoryStorageKernel DXE Driver.
Chipset Layer,\insydeeventlogpkg\eventstorage\memorystorage\memorystoragedxe\MemoryStorageChipsetDxe,4CA8A1EF-D4DA-4212-9F4D-41638E68B6C1,Component description file for MemoryStorageChipset DXE Driver.
Chipset Layer,\insydeeventlogpkg\eventstorage\memorystorage\memorystoragesmm\MemoryStorageKernelSmm,5A112448-0523-4621-B96C-CF32F6AEF3A4,Component description file for MemoryStorageKernel SMM Driver.
Chipset Layer,\insydeeventlogpkg\eventstorage\memorystorage\memorystoragesmm\MemoryStorageChipsetSmm,82180E9E-FB32-4086-AB38-370BB29134E3,Component description file for MemoryStorageChipset driver.
Chipset Layer,\insydeeventlogpkg\eventstorage\bmcselstorage\bmcseleventstoragedxe\BmcSelEventStorageDxe,2DA99E67-07F8-417B-BA59-F2049D57BDF2,Component description file for BmcSelEventStorage DXE driver.
